player_id,year_drafted,draft_round,draft_number,salary
332,2001,1,3,15500000
137,2008,1,26,8000000
181,2015,1,25,1286160
106,2011,1,2,4598000
342,2006,1,7,2500000
300,2000,1,5,3500000
417,2016,2,34,918369
118,2012,2,35,15330435
250,2006,1,24,12000000
345,2005,1,5,1551659
393,2007,1,12,12078652
240,2008,1,5,21165675
319,2011,1,16,11750000
39,2009,1,1,20093064
2,2007,1,26,2700000
196,2009,2,41,6540000
195,2007,1,9,17000000
22,2015,2,44,945000
157,2011,2,60,6587131
94,2016,1,21,NULL
174,2013,2,50,2898000
334,2006,2,47,20072033
35,2010,1,19,8269663
199,2001,1,10,11000000
428,2012,2,40,3533333
316,2014,1,8,2993040
189,2014,2,39,980431
177,2003,2,49,1551659
96,2010,1,5,15756438
295,2013,1,11,3183526
223,2014,1,7,3267120
274,2007,2,48,21165675
404,2001,1,28,14445313
348,2015,2,37,1024000
261,2003,1,1,30963450
52,2008,1,10,21165675
120,2014,2,45,8375000
224,2015,1,21,1514160
435,2001,1,19,10000000
93,2011,2,53,543471
127,2011,1,3,17145838
414,2009,1,18,1315448
427,Undrafted,Undrafted,Undrafted,17145838
431,2015,2,35,1375000
315,Undrafted,Undrafted,Undrafted,543471
433,Undrafted,Undrafted,Undrafted,100000
391,2015,1,16,1906440
11,2013,2,32,5994764
365,2004,1,27,1410598
227,2015,1,10,2593440
192,2015,1,19,1643040
329,2016,2,38,543471
363,Undrafted,Undrafted,Undrafted,874636
216,2014,2,58,874636
385,2014,1,14,2128920
8,2010,1,8,7680965
6,2007,1,3,26540100
251,2012,2,49,3918750
176,2009,1,16,4000000
16,2005,2,56,12000000
212,Undrafted,Undrafted,Undrafted,874636
418,2012,1,17,8000000
159,Undrafted,Undrafted,Undrafted,NULL
130,2005,2,36,8400000
163,2004,1,18,12800000
183,2007,1,20,5000000
50,2008,1,13,3500000
273,1999,2,57,14000000
194,2011,1,30,17552209
73,2008,1,22,11242000
268,2004,1,7,18000000
215,2009,1,8,4000000
413,Undrafted,Undrafted,Undrafted,543471
364,2015,1,18,1720560
128,2010,1,18,14000000
436,2003,2,42,2898000
400,2016,1,24,NULL
265,2013,1,16,1921320
98,2016,1,29,1180080
222,2016,1,15,1987440
171,2000,1,8,13253012
198,Undrafted,Undrafted,Undrafted,2100000
25,2013,1,1,1015696
387,Undrafted,Undrafted,Undrafted,6191000
416,Undrafted,Undrafted,Undrafted,5628000
320,2014,1,9,2751360
208,2011,2,40,10991957
238,2013,1,8,3678319
290,2012,1,15,NULL
92,2008,2,35,21165675
213,2014,2,46,12500000
144,2008,2,45,15891725
188,2013,2,39,1015696
80,2008,1,6,15050000
380,2009,1,7,12112359
303,2012,1,26,12400000
206,Undrafted,Undrafted,Undrafted,NULL
142,2013,1,15,2995420
246,2004,1,14,8630000
220,2015,2,40,874636
134,Undrafted,Undrafted,Undrafted,543471
426,2010,1,4,5628000
233,2013,1,13,3094013
383,2013,1,12,3140517
90,2003,1,18,1551659
285,Undrafted,Undrafted,Undrafted,543471
292,1999,1,16,1551659
245,2016,1,5,3872520
430,Undrafted,Undrafted,Undrafted,874636
339,2006,1,21,14000000
420,2015,1,24,1339680
179,2014,1,17,1825200
269,2016,1,22,1439880
255,2006,1,2,20575005
160,2016,2,32,1034865
354,2007,1,15,7000000
412,Undrafted,Undrafted,Undrafted,3332940
37,2004,1,28,980431
323,2009,1,23,2963814
310,2002,1,7,NULL
66,2005,1,4,22868827
279,2014,1,6,3578880
271,Undrafted,Undrafted,Undrafted,2500000
235,2011,1,9,12000000
205,2012,1,23,1050961
408,2010,1,23,9250000
161,Undrafted,Undrafted,Undrafted,NULL
346,2013,1,25,2255644
293,2012,1,11,9213484
298,2007,1,4,26540100
392,2006,1,13,4000000
280,2009,2,43,1315448
9,Undrafted,Undrafted,Undrafted,1315448
297,2012,1,2,13000000
187,2009,1,19,8000000
327,2015,2,41,874636
366,Undrafted,Undrafted,Undrafted,980431
132,2010,1,2,16393443
407,2004,2,43,7800000
72,2011,1,29,7315000
306,2005,2,40,10763500
51,Undrafted,Undrafted,Undrafted,1050961
434,2014,1,13,2240880
302,2012,2,43,3333333
375,2011,2,34,2433334
186,2007,1,5,15000000
146,2013,1,21,2348782
357,2008,1,17,5000000
403,2004,1,25,5000000
1,2016,2,46,650000
123,2010,1,13,6666667
239,2007,1,2,26540100
165,2008,1,18,1403611
77,2012,1,6,24328425
402,2012,2,32,2870813
34,2012,1,10,11000000
71,2007,1,7,7612172
10,Undrafted,Undrafted,Undrafted,874636
254,2011,1,1,17638063
86,2008,1,27,8070175
88,2015,2,38,874636
197,2014,2,33,980431
340,2015,2,36,1052342
184,1999,1,10,1551659
394,2012,1,5,1050961
359,2013,1,27,2121287
89,2005,1,30,1551659
214,2006,1,26,50093
63,2016,2,33,543471
236,2011,1,22,12078652
373,2004,1,4,5782450
259,2015,1,27,NULL
423,1998,1,5,4264057
374,Undrafted,Undrafted,Undrafted,543471
45,2012,1,3,22116750
326,2016,1,27,1196040
218,Undrafted,Undrafted,Undrafted,7708427
24,2014,1,1,6006600
172,2016,1,7,3210840
59,2014,1,28,1209600
169,2016,2,47,600000
56,2013,1,10,3219579
415,2014,1,18,1733880
312,2007,1,16,5443918
5,2014,1,15,2022240
325,2006,2,35,5300000
65,2015,1,29,1191480
244,2008,1,23,8046500
101,2016,1,14,2092200
79,Undrafted,Undrafted,Undrafted,543471
17,2004,2,30,10851659
226,Undrafted,Undrafted,Undrafted,1015696
336,2016,2,48,750000
201,2016,2,52,600000
321,2015,2,46,874636
286,2005,1,2,12250000
107,2015,1,13,2148360
344,2013,2,47,877800
173,2004,1,20,4540525
38,2011,1,7,17000000
182,2014,2,35,150000
102,2005,1,3,14474787
429,2015,1,6,3551160
36,2013,1,7,4008882
350,Undrafted,Undrafted,Undrafted,1015696
328,2009,2,42,6000000
421,Undrafted,Undrafted,Undrafted,4000000
272,2016,1,19,1627320
111,2016,2,40,543471
230,2015,1,1,5960160
29,Undrafted,Undrafted,Undrafted,8000000
138,2016,2,50,650000
30,2013,1,29,2177734
381,2016,2,41,950000
386,2009,1,26,8950000
27,2012,1,1,22116750
116,2014,1,11,2483040
135,Undrafted,Undrafted,Undrafted,8000000
425,2009,1,28,6000000
241,2010,1,17,1800000
207,2010,1,1,15756438
377,2013,1,23,11709603
351,2008,1,15,13219250
396,Undrafted,Undrafted,Undrafted,2090000
143,2014,2,40,NULL
256,2010,2,40,1227286
122,2011,2,55,8801363
133,2015,1,9,2730000
229,2014,2,32,3333333
369,2006,1,27,6800000
49,2011,1,8,12606250
60,2003,1,3,24559380
152,Undrafted,Undrafted,Undrafted,1015696
167,2012,2,34,6286408
378,2007,1,10,5782450
125,2014,1,10,2613600
253,Undrafted,Undrafted,Undrafted,543471
190,2012,1,12,7000000
252,2011,2,33,4837500
249,2003,2,51,5239437
46,2005,2,33,1551659
311,2003,1,12,3750000
432,2007,1,23,11233146
70,2010,1,11,7643979
219,2007,2,37,5782450
164,Undrafted,Undrafted,Undrafted,980431
399,Undrafted,Undrafted,Undrafted,16000000
424,2016,1,17,1793760
28,Undrafted,Undrafted,Undrafted,3488000
211,Undrafted,Undrafted,Undrafted,543471
232,2016,2,54,543471
109,Undrafted,Undrafted,Undrafted,2898000
267,2010,1,16,1227286
305,Undrafted,Undrafted,Undrafted,10500000
150,2010,2,33,22116750
12,2013,1,5,4823621
148,2010,1,28,4347826
57,2005,2,34,4583450
341,2007,2,56,6000000
337,2012,2,37,1050961
349,2009,1,5,13400000
42,2015,1,22,1404600
358,2006,1,8,13333333
55,2016,1,6,3517200
84,Undrafted,Undrafted,Undrafted,543471
168,2015,1,3,4788840
100,2013,1,17,NULL
14,2013,2,31,18500000
48,2009,1,10,5000000
398,Undrafted,Undrafted,Undrafted,543471
121,2003,1,5,23200000
217,2015,2,33,1223653
202,2014,1,3,4826160
243,2011,1,11,16663575
356,2015,1,23,1395600
330,2010,1,14,6050000
156,2013,2,34,1015696
145,2010,1,9,16073140
277,2007,1,18,6333333
352,2014,1,23,1406520
296,2016,2,49,650000
299,2002,1,3,4837500
210,2011,1,5,14382023
248,2014,1,30,1192080
258,Undrafted,Undrafted,Undrafted,5200000
149,2012,1,7,22116750
270,2016,2,36,875000
153,Undrafted,Undrafted,Undrafted,1015696
370,Undrafted,Undrafted,Undrafted,2898000
178,Undrafted,Undrafted,Undrafted,980431
234,2015,1,15,2006640
43,2011,2,31,3573020
382,2006,2,32,1551659
322,2008,2,36,9904494
83,2014,1,5,3940320
75,2015,1,2,5332800
139,2016,1,13,2202240
82,2009,2,33,3000000
411,2011,1,4,15330435
275,Undrafted,Undrafted,Undrafted,1500000
242,2015,1,30,1142880
367,2014,2,55,543471
294,2008,1,2,1403611
284,2008,1,16,1403611
78,Undrafted,Undrafted,Undrafted,980431
301,2013,2,44,1015696
58,Undrafted,Undrafted,Undrafted,5000000
401,2011,1,19,17200000
74,Undrafted,Undrafted,Undrafted,874636
263,2005,2,45,NULL
129,2008,1,7,12385665
44,2003,1,21,7000000
154,2005,1,28,16000000
68,2014,1,25,1296240
81,2009,2,46,10000000
3,2014,1,4,4351320
314,Undrafted,Undrafted,Undrafted,543471
360,2008,1,4,26540100
410,2015,1,12,2340600
113,1998,1,9,25000000
264,2008,2,37,2203000
95,2009,1,9,26540100
115,Undrafted,Undrafted,Undrafted,543471
355,Undrafted,Undrafted,Undrafted,543471
347,2001,1,13,2500000
287,2013,1,22,2328530
288,2002,2,45,6125000
257,Undrafted,Undrafted,Undrafted,6191000
372,2014,1,24,1350120
126,2015,1,7,3241800
291,Undrafted,Undrafted,Undrafted,543471
397,2013,1,24,NULL
155,2011,1,17,9662922
23,2012,1,19,6088993
162,2006,1,11,7377500
26,2015,2,34,874636
338,2015,1,28,2064586
361,2008,1,21,18735364
151,2016,1,18,1704120
376,2016,1,28,1188840
203,2013,2,55,1709719
368,2008,1,24,12250000
419,2001,1,2,12415000
158,2016,2,42,1074145
193,2008,1,11,9424084
53,2014,1,20,1324700
31,Undrafted,Undrafted,Undrafted,980431
283,2016,1,8,2941440
362,2013,2,48,979847
422,2013,1,2,6552960
405,2013,1,20,2368327
112,2012,1,4,2898000
237,Undrafted,Undrafted,Undrafted,15730337
317,2014,2,41,1358500
309,2010,2,35,3800000
384,Undrafted,Undrafted,Undrafted,874636
353,Undrafted,Undrafted,Undrafted,543471
117,2016,1,4,4276320
390,2012,1,8,10000000
141,2009,1,12,9000000
18,2012,1,9,22116750
313,2008,1,25,20869566
307,2015,2,32,1045000
33,2007,1,27,12500000
114,2016,1,11,2440200
69,2013,1,4,5318313
278,2011,1,14,4625000
99,2016,2,45,1450000
41,Undrafted,Undrafted,Undrafted,980431
105,2008,1,1,21323252
308,2015,1,11,2380440
266,2002,2,55,5000000
260,2011,2,50,3500000
276,2005,2,57,12000000
185,2016,1,3,4743000
231,2011,1,15,17638063
7,2004,1,15,10230179
62,2005,1,8,7806971
108,2004,1,5,4227996
324,2013,1,3,5893981
87,2009,1,21,5229454
124,2014,2,43,NULL
97,2009,1,27,14200000
395,2016,1,10,2568600
166,2014,1,2,5374320
19,2004,1,9,11131368
379,2015,1,8,2869440
15,Undrafted,Undrafted,Undrafted,1400000
136,2014,1,19,1655880
388,2016,1,12,2318280
131,2012,1,20,17000000
281,2015,1,5,3909840
225,2012,2,45,3000000
180,2007,1,22,10470000
204,2012,1,14,12267606
409,2013,1,9,3386597
20,2013,1,26,2183072
228,2014,1,16,1921320
110,2016,2,31,1369229
209,2009,2,39,5000000
32,Undrafted,Undrafted,Undrafted,6500000
4,Undrafted,Undrafted,Undrafted,874636
282,2011,1,13,7400000
47,2016,1,2,5281680
304,Undrafted,Undrafted,Undrafted,2898000
119,2004,1,1,23500000
289,Undrafted,Undrafted,Undrafted,9607500
331,2009,2,55,NULL
147,2010,1,7,17145838
371,2013,1,14,3046299
247,2015,1,4,4317720
54,Undrafted,Undrafted,Undrafted,543471
61,2011,2,38,22116750
64,Undrafted,Undrafted,Undrafted,1551659
175,2009,1,3,26540100
140,2005,1,18,1410598
318,2011,1,23,5782450
200,2015,2,43,NULL
170,2016,1,9,2703960
76,2008,1,9,NULL
406,Undrafted,Undrafted,Undrafted,543471
262,2003,1,28,4000000
21,2005,1,1,11027027
103,2010,1,3,11050000
85,2014,1,12,2318280
221,2009,1,17,11000000
389,2012,1,18,1050961
40,Undrafted,Undrafted,Undrafted,5628000
191,Undrafted,Undrafted,Undrafted,11483254
91,2011,2,42,543471
13,2008,1,20,4863206
343,2015,1,17,1811040
333,2010,1,10,18100000
335,1998,1,10,3527920
67,Undrafted,Undrafted,Undrafted,874636
